2019-12-07 09:43:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:43:13 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:43:13 同步部门 任务开始
2019-12-07 09:43:13 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:43:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:43:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:43:34 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:43:35 同步部门 任务开始
2019-12-07 09:43:35 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:43:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:43:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:43:56 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:43:56 同步部门 任务开始
2019-12-07 09:43:56 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:44:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:44:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:44:17 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:44:17 同步部门 任务开始
2019-12-07 09:44:17 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:44:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:44:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:44:38 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:44:39 同步部门 任务开始
2019-12-07 09:44:39 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:44:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:44:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:45:00 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:45:00 同步部门 任务开始
2019-12-07 09:45:00 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:45:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
